Column1,Column2,Column3,Column4,Column5,Column 6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Global ID,Barcode,Name,Status,Unit,Number of units,Units per pack,Categories,Price,Price with markup,Price with commission,Price base,Markup,Commission,Location in store,Location priority,Preparation time,Tax code,Freetext notes,Item taxes,Filters,Description,Allergen Information,Ingredients,Nutritional Data,Dietary Information,Station,Modifiers,Private,Tags
011007090,Iced Jamaica Blue Mountain® Clover® Starbucks Reserve® Venti,Venti,Non-Menu,Jamaica Blue Mountain Iced Clover Brewed Coffee Venti,7.00,7.00,6.50,7.00,,6.50,6.50,7.00,7.00,6.50,,6.50,6.50,6.50,6.50,6.50,7.00,7.00,7.00,7.00,6.50,7.00,6.50,6.00,6.50,6.50,6.50,6.50,7.00,7.00,6.50,7.00,6.50,6.50,6.50,6.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011007228,Add Frappuccino® Roast,add,Non-Menu,Add Frapp Roast Shot add,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011007553,Custom Tea Latte Short,Short,Non-Menu,Tea Lattes Hot Short,4.35,4.35,3.65,4.15,4.15,4.15,4.15,4.35,4.55,3.85,3.85,3.85,3.85,4.15,4.35,4.15,4.35,4.65,4.85,4.55,3.85,4.55,4.35,4.35,4.15,4.35,4.35,3.85,4.35,4.55,3.85,4.35,4.15,4.15,4.15,4.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011007554,Custom Tea Latte Tall,Tall,Non-Menu,Tea Lattes Hot Tall,4.45,4.45,3.75,4.25,4.25,4.25,4.25,4.45,4.65,3.95,3.95,3.95,3.95,4.25,4.45,4.25,4.45,4.75,4.95,4.65,3.95,4.65,4.45,4.45,4.25,4.45,4.45,3.95,4.45,4.65,3.95,4.45,4.25,4.25,4.25,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011007555,Custom Tea Latte Grande,Grande,Non-Menu,Tea Lattes Hot Grande,4.95,4.95,4.45,4.95,4.75,4.75,4.75,4.95,4.95,4.75,4.75,4.25,4.75,4.75,4.95,4.75,4.95,5.25,5.25,4.95,4.75,4.95,4.95,4.95,4.75,4.95,4.95,4.75,4.95,4.95,4.75,4.95,4.75,4.75,4.75,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011007556,Custom Tea Latte Venti,Venti,Non-Menu,Tea Lattes Hot Venti,5.45,5.45,4.75,5.25,4.95,4.95,4.95,5.45,5.65,4.95,4.95,4.75,4.95,4.95,5.25,4.95,5.25,5.75,5.75,5.45,4.95,5.45,5.25,5.25,4.95,5.25,5.25,4.95,5.45,5.45,4.95,5.45,4.95,4.95,4.95,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011008163,Tall Decaf Iced Coffee,Tall,Non-Menu,Brewed Sweetened Iced Tall,2.95,2.95,2.75,2.95,3.25,3.45,3.45,2.95,3.25,3.25,3.25,2.75,3.25,3.25,3.25,3.25,3.45,3.75,3.95,3.45,3.25,3.25,3.45,3.45,3.45,3.75,3.75,3.25,2.95,3.45,3.25,2.95,3.25,3.45,3.45,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011008164,Grande Decaf Iced Coffee,Grande,Non-Menu,Brewed Sweetened Iced Grande,3.25,3.45,2.95,3.45,3.45,3.75,3.75,3.45,3.45,3.45,3.45,2.95,3.45,3.45,3.45,3.45,3.75,3.95,4.25,3.75,3.45,3.45,3.75,3.95,3.95,3.95,3.95,3.45,3.45,3.75,3.45,3.25,3.45,3.75,3.75,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011008165,Venti Decaf Iced Coffee,Venti,Non-Menu,Brewed Sweetened Iced Venti,3.75,3.95,3.45,3.95,3.95,4.25,4.25,3.75,3.95,3.95,3.75,3.45,3.75,3.95,3.75,3.95,4.25,4.25,4.45,4.25,3.95,3.95,4.25,4.25,4.25,4.25,4.25,3.75,3.75,3.95,3.95,3.75,3.95,4.25,4.25,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011008168,Tall Decaf Iced Coffee with Milk,Tall,Non-Menu,Brewed Sweetened Iced Tall,2.95,2.95,2.75,2.95,3.25,3.45,3.45,2.95,3.25,3.25,3.25,2.75,3.25,3.25,3.25,3.25,3.45,3.75,3.95,3.45,3.25,3.25,3.45,3.45,3.45,3.75,3.75,3.25,2.95,3.45,3.25,2.95,3.25,3.45,3.45,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011008171,Grande Decaf Iced Coffee with Milk,Grande,Non-Menu,Brewed Sweetened Iced Grande,3.25,3.45,2.95,3.45,3.45,3.75,3.75,3.45,3.45,3.45,3.45,2.95,3.45,3.45,3.45,3.45,3.75,3.95,4.25,3.75,3.45,3.45,3.75,3.95,3.95,3.95,3.95,3.45,3.45,3.75,3.45,3.25,3.45,3.75,3.75,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011008172,Venti Decaf Iced Coffee with Milk,Venti,Non-Menu,Brewed Sweetened Iced Venti,3.75,3.95,3.45,3.95,3.95,4.25,4.25,3.75,3.95,3.95,3.75,3.45,3.75,3.95,3.75,3.95,4.25,4.25,4.45,4.25,3.95,3.95,4.25,4.25,4.25,4.25,4.25,3.75,3.75,3.95,3.95,3.75,3.95,4.25,4.25,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011008277,Trenta Decaf Iced Coffee,Trenta,Non-Menu,Brewed Sweetened Iced Trenta,3.95,4.25,3.75,4.25,4.25,4.45,4.45,3.95,4.25,4.25,3.95,3.95,3.95,4.25,3.95,4.25,4.45,4.45,4.75,4.45,4.25,4.25,4.45,4.45,4.45,4.45,4.45,3.95,3.95,4.25,4.25,3.95,4.25,4.45,4.45,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011008278,Trenta Decaf Iced Coffee with Milk,Trenta,Non-Menu,Brewed Sweetened Iced Trenta,3.95,4.25,3.75,4.25,4.25,4.45,4.45,3.95,4.25,4.25,3.95,3.95,3.95,4.25,3.95,4.25,4.45,4.45,4.75,4.45,4.25,4.25,4.45,4.45,4.45,4.45,4.45,3.95,3.95,4.25,4.25,3.95,4.25,4.45,4.45,3.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011008581,Tall Very Berry Hibiscus Starbucks Refreshers™ Beverage,Tall,Menu,Refreshers Tall,4.25,4.45,3.45,4.25,3.45,3.75,3.75,4.25,4.45,3.45,3.45,3.25,3.45,3.45,3.45,3.45,3.95,4.25,4.65,4.25,3.45,4.45,3.75,3.75,3.75,3.75,3.95,3.45,4.25,3.75,3.45,4.25,3.45,3.75,3.95,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011008582,Grande Very Berry Hibiscus Starbucks Refreshers™ Beverage,Grande,Menu,Refreshers Grande,4.95,4.95,3.95,4.65,3.95,3.95,4.25,4.95,4.95,3.95,3.95,3.75,3.95,3.95,3.85,3.95,4.45,4.75,4.95,4.75,3.95,4.95,4.25,4.25,4.25,4.25,4.45,3.95,4.95,4.25,3.95,4.65,3.95,4.25,4.25,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011008583,Venti Very Berry Hibiscus Starbucks Refreshers™ Beverage,Venti,Menu,Refreshers Venti,5.25,5.45,4.45,5.25,4.45,4.45,4.75,5.25,5.45,4.45,4.45,4.25,4.45,4.45,4.45,4.45,4.75,5.25,5.45,5.25,4.45,5.45,4.75,4.75,4.75,4.75,4.75,4.45,5.45,4.75,4.45,5.25,4.45,4.75,4.75,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011009207,Short Salted Caramel Mocha,Short,Menu,Espresso LTO Hot Short,4.85,4.85,4.25,4.85,4.65,4.65,4.65,4.85,5.15,4.75,4.65,4.35,4.65,4.75,4.75,4.75,4.85,4.85,5.55,5.35,4.75,5.15,4.65,4.65,4.65,4.85,4.85,4.65,4.85,5.35,4.75,4.55,4.65,4.65,4.65,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011009208,Tall Salted Caramel Mocha,Tall,Menu,Espresso LTO Hot Tall,4.95,4.95,4.45,4.95,4.75,4.75,4.75,4.95,5.25,4.85,4.75,4.45,4.75,4.85,4.85,4.85,4.95,4.95,5.65,5.45,4.85,5.25,4.75,4.75,4.75,4.95,4.95,4.75,4.95,5.45,4.85,4.65,4.75,4.75,4.75,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011009209,Grande Salted Caramel Mocha,Grande,Menu,Espresso LTO Hot Grande,5.45,5.45,5.25,5.45,5.25,5.25,5.25,5.65,5.45,5.45,5.25,4.95,5.25,5.45,5.45,5.45,5.75,5.75,5.95,5.65,5.45,5.75,5.45,5.45,5.45,5.45,5.45,5.25,5.65,5.75,5.45,5.25,5.25,5.25,5.25,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011009210,Venti Salted Caramel Mocha,Venti,Menu,Espresso LTO Hot Venti,5.95,5.65,5.45,5.65,5.75,5.75,5.75,5.95,5.95,5.75,5.75,5.25,5.75,5.75,5.75,5.75,6.25,6.25,6.55,5.95,5.75,6.25,5.75,5.75,5.75,5.75,5.75,5.75,5.95,6.25,5.75,5.65,5.75,5.75,5.75,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011009211,Tall Salted Caramel Mocha Crème Frappuccino®,Tall,Menu,Blended Seasonal Analog Tall,4.95,4.95,4.95,4.95,4.95,4.95,4.95,5.25,5.25,4.95,4.95,4.95,4.95,4.95,5.25,4.95,5.45,5.75,5.95,5.45,4.95,5.25,5.45,5.45,5.45,5.45,5.45,4.95,5.25,5.45,4.95,4.95,4.95,4.95,4.95,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011009212,Grande Salted Caramel Mocha Crème Frappuccino®,Grande,Menu,Blended Seasonal Analog Grande,5.65,5.65,5.45,5.45,5.45,5.45,5.45,5.65,5.65,5.45,5.45,5.45,5.45,5.45,5.95,5.45,5.75,5.95,6.25,5.95,5.45,5.65,5.75,5.75,5.75,5.75,5.75,5.45,5.65,5.75,5.45,5.45,5.45,5.45,5.45,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011009213,Venti Salted Caramel Mocha Crème Frappuccino®,Venti,Menu,Blended Seasonal Analog Venti,5.95,5.95,5.75,5.95,5.75,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,6.25,5.95,6.25,6.25,6.75,6.25,5.95,5.95,6.25,6.25,6.25,6.25,6.25,5.95,5.95,6.25,5.95,5.95,5.95,5.95,5.95,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011009247,Short Salted Caramel Hot Chocolate,Short,Menu,Hot Alt Premium Short,4.35,4.35,3.35,4.35,3.65,3.85,4.15,4.45,4.45,3.65,3.65,3.65,3.65,3.65,3.65,3.65,4.35,4.35,4.35,4.35,3.65,4.45,4.15,4.35,4.15,4.15,4.35,3.65,4.35,4.35,3.65,4.35,3.85,3.85,3.85,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011009249,Tall Salted Caramel Hot Chocolate,Tall,Menu,Hot Alt Premium Tall,4.45,4.45,3.45,4.45,3.75,3.95,4.25,4.55,4.55,3.75,3.75,3.75,3.75,3.75,3.75,3.75,4.45,4.45,4.45,4.45,3.75,4.55,4.25,4.45,4.25,4.25,4.45,3.75,4.45,4.45,3.75,4.45,3.95,3.95,3.95,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011009251,Grande Salted Caramel Hot Chocolate,Grande,Menu,Hot Alt Premium Grande,4.75,4.75,3.95,4.75,4.25,4.45,4.45,4.85,4.85,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.75,4.75,4.75,4.75,4.25,4.85,4.75,4.75,4.75,4.75,4.75,4.25,4.75,4.75,4.25,4.75,4.45,4.45,4.45,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011009252,Venti Salted Caramel Hot Chocolate,Venti,Menu,Hot Alt Premium Venti,4.95,4.95,4.15,4.95,4.45,4.75,4.75,5.05,5.05,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.95,5.25,5.25,5.25,4.45,5.25,4.95,4.95,4.95,4.95,4.95,4.45,4.95,5.25,4.45,4.95,4.75,4.75,4.75,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011009705,Iced Caramel Macchiato Tall,Tall,Non-Menu,Espresso Premium Iced Tall,4.65,4.65,4.25,4.65,4.45,4.75,4.75,4.65,4.65,4.45,4.45,4.25,4.85,4.75,4.75,4.75,4.95,5.25,5.75,5.45,4.45,4.95,4.75,4.75,4.75,4.75,4.75,4.45,4.65,5.25,4.75,4.65,5.05,4.75,4.75,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011009886,Tall Pumpkin Spice Frappuccino® Blended Crème,Tall,Menu,Blended Seasonal Analog Tall,4.95,4.95,4.95,4.95,4.95,4.95,4.95,5.25,5.25,4.95,4.95,4.95,4.95,4.95,5.25,4.95,5.45,5.75,5.95,5.45,4.95,5.25,5.45,5.45,5.45,5.45,5.45,4.95,5.25,5.45,4.95,4.95,4.95,4.95,4.95,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011009887,Grande Pumpkin Spice Frappuccino® Blended Crème,Grande,Menu,Blended Seasonal Analog Grande,5.65,5.65,5.45,5.45,5.45,5.45,5.45,5.65,5.65,5.45,5.45,5.45,5.45,5.45,5.95,5.45,5.75,5.95,6.25,5.95,5.45,5.65,5.75,5.75,5.75,5.75,5.75,5.45,5.65,5.75,5.45,5.45,5.45,5.45,5.45,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011009888,Venti Pumpkin Spice Frappuccino® Blended Crème,Venti,Menu,Blended Seasonal Analog Venti,5.95,5.95,5.75,5.95,5.75,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,6.25,5.95,6.25,6.25,6.75,6.25,5.95,5.95,6.25,6.25,6.25,6.25,6.25,5.95,5.95,6.25,5.95,5.95,5.95,5.95,5.95,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011009978,Salted Caramel Hot Chocolate Kids,Kids,Menu,Hot Alt Premium Kids,3.85,3.85,2.85,3.85,3.15,3.45,3.45,3.85,3.85,3.15,3.15,3.15,3.15,3.15,3.15,3.15,3.65,3.85,3.95,3.85,3.15,3.85,3.65,3.65,3.45,3.65,3.65,3.15,3.85,3.85,3.15,3.85,3.25,3.25,3.45,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011010002,Tall Iced Salted Caramel Mocha,Tall,Menu,Espresso LTO Iced Tall,4.95,4.95,4.45,4.95,4.75,4.75,4.75,4.95,5.25,4.85,4.75,4.45,4.75,4.85,4.85,4.85,4.95,4.95,5.65,5.45,4.85,5.25,4.75,4.75,4.75,4.95,4.95,4.75,4.95,5.45,4.85,4.65,4.75,4.75,4.75,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011010003,Grande Iced Salted Caramel Mocha,Grande,Menu,Espresso LTO Iced Grande,5.45,5.45,5.25,5.45,5.25,5.25,5.25,5.65,5.45,5.45,5.25,4.95,5.25,5.45,5.45,5.45,5.75,5.75,5.95,5.65,5.45,5.75,5.45,5.45,5.45,5.45,5.45,5.25,5.65,5.75,5.45,5.25,5.25,5.25,5.25,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011010005,Venti Iced Salted Caramel Mocha,Venti,Menu,Espresso LTO Iced Venti,5.95,5.65,5.65,5.65,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.25,5.95,5.95,5.95,5.95,6.25,6.25,6.55,6.25,5.95,6.25,5.95,5.95,5.95,5.95,5.95,5.95,5.95,6.25,5.95,5.65,5.95,5.95,5.95,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011010097,Custom Shaken Iced Tea Trenta,Trenta,Non-Menu,Teavana Iced Tea Trenta,3.75,3.75,3.45,3.75,3.45,3.75,3.95,3.75,3.75,3.45,3.65,2.95,3.65,3.65,3.45,3.65,3.75,3.95,4.25,3.95,3.65,3.95,3.95,4.25,3.75,4.25,4.25,3.65,3.75,3.65,3.65,3.75,3.75,3.75,3.95,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011010098,Iced Tea Lemonade Trenta,Trenta,Non-Menu,Teavana Tea Lemonade 2 Trenta,4.75,4.75,4.45,4.75,4.45,4.75,4.75,4.75,4.75,4.35,4.45,4.25,4.45,4.45,4.25,4.45,4.75,4.75,4.95,5.25,4.45,4.95,4.75,4.75,4.45,4.75,4.75,4.45,4.75,4.95,4.45,4.75,4.45,4.45,4.75,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011010168,Signature Espresso  add,add,Non-Menu,Non Price Espresso add,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011010977,Add Sugar Free Mocha Sauce,add,Non-Menu,Sauce add,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011010991,Peppermint White Chocolate Mocha Frappuccino® Blended Beverage Tall,Tall,Non-Menu,Blended Seasonal Analog Tall,4.95,4.95,4.95,4.95,4.95,4.95,4.95,5.25,5.25,4.95,4.95,4.95,4.95,4.95,5.25,4.95,5.45,5.75,5.95,5.45,4.95,5.25,5.45,5.45,5.45,5.45,5.45,4.95,5.25,5.45,4.95,4.95,4.95,4.95,4.95,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011010995,Peppermint White Chocolate Mocha Frappuccino® Blended Beverage Grande,Grande,Non-Menu,Blended Seasonal Analog Grande,5.65,5.65,5.45,5.45,5.45,5.45,5.45,5.65,5.65,5.45,5.45,5.45,5.45,5.45,5.95,5.45,5.75,5.95,6.25,5.95,5.45,5.65,5.75,5.75,5.75,5.75,5.75,5.45,5.65,5.75,5.45,5.45,5.45,5.45,5.45,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011010999,Peppermint White Chocolate Mocha Frappuccino® Blended Beverage Venti,Venti,Non-Menu,Blended Seasonal Analog Venti,5.95,5.95,5.75,5.95,5.75,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,6.25,5.95,6.25,6.25,6.75,6.25,5.95,5.95,6.25,6.25,6.25,6.25,6.25,5.95,5.95,6.25,5.95,5.95,5.95,5.95,5.95,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011011222,Grande Iced Skinny Mocha,Grande,Non-Menu,Espresso Mocha Iced Grande,5.25,5.25,4.65,5.25,4.95,4.95,4.95,5.25,5.25,4.95,4.95,4.45,5.25,4.95,4.95,4.95,5.45,5.45,5.75,5.45,4.95,5.45,5.25,5.25,5.25,5.25,5.25,4.95,5.25,5.45,4.95,4.95,5.25,4.95,4.95,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011011575,Short Skinny Caramel Macchiato,Short,Non-Menu,Espresso Premium Hot Short,4.55,4.55,4.15,4.55,4.35,4.65,4.65,4.55,4.55,4.35,4.35,4.15,4.45,4.65,4.65,4.65,4.85,5.15,5.65,5.35,4.35,4.85,4.65,4.65,4.65,4.65,4.65,4.35,4.55,5.15,4.65,4.55,4.65,4.65,4.65,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011011576,Tall Skinny Caramel Macchiato,Tall,Non-Menu,Espresso Premium Hot Tall,4.65,4.65,4.25,4.65,4.45,4.75,4.75,4.65,4.65,4.45,4.45,4.25,4.55,4.75,4.75,4.75,4.95,5.25,5.75,5.45,4.45,4.95,4.75,4.75,4.75,4.75,4.75,4.45,4.65,5.25,4.75,4.65,4.75,4.75,4.75,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011011578,Grande Skinny Caramel Macchiato,Grande,Non-Menu,Espresso Premium Hot Grande,5.25,5.15,4.75,5.15,4.95,5.25,5.25,5.35,5.35,5.25,5.25,4.95,5.25,5.25,5.25,5.25,5.75,5.75,6.25,5.95,5.25,5.45,5.25,5.45,5.25,5.25,5.25,5.25,5.25,5.75,5.25,5.15,5.25,5.25,5.25,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011011580,Venti Skinny Caramel Macchiato,Venti,Non-Menu,Espresso Premium Hot Venti,5.65,5.45,5.25,5.45,5.45,5.45,5.45,5.65,5.65,5.45,5.45,5.25,5.55,5.45,5.45,5.45,5.95,5.95,6.45,6.25,5.45,5.95,5.45,5.95,5.75,5.95,5.95,5.45,5.65,5.95,5.45,5.45,5.55,5.45,5.75,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011011581,Tall Iced Skinny Caramel Macchiato,Tall,Non-Menu,Espresso Premium Iced Tall,4.65,4.65,4.25,4.65,4.45,4.75,4.75,4.65,4.65,4.45,4.45,4.25,4.85,4.75,4.75,4.75,4.95,5.25,5.75,5.45,4.45,4.95,4.75,4.75,4.75,4.75,4.75,4.45,4.65,5.25,4.75,4.65,5.05,4.75,4.75,4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011011582,Grande Iced Skinny Caramel Macchiato,Grande,Non-Menu,Espresso Premium Iced Grande,5.25,5.15,4.75,5.15,4.95,5.25,5.25,5.35,5.35,5.25,5.25,4.95,5.55,5.25,5.25,5.25,5.75,5.75,6.25,5.95,5.25,5.45,5.25,5.45,5.25,5.25,5.25,5.25,5.25,5.75,5.25,5.15,5.55,5.25,5.25,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011011583,Venti Iced Skinny Caramel Macchiato,Venti,Non-Menu,Espresso Premium Iced Venti,5.65,5.65,5.45,5.65,5.75,5.75,5.75,5.65,5.65,5.75,5.75,5.55,5.85,5.75,5.75,5.75,6.25,6.25,6.75,6.25,5.75,5.95,5.75,6.05,6.05,6.05,6.05,5.75,5.65,6.25,5.75,5.65,5.85,5.75,5.85,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011012082,Tea Refill Short,Short,Non-Menu,Hot Tea Refill Short,2.35,2.35,0.50,2.35,0.50,0.50,0.50,2.55,2.35,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,2.55,0.50,0.50,0.50,0.50,0.50,0.50,2.55,0.50,0.50,2.35,0.50,0.50,0.50,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011012083,Tea Refill Tall,Tall,Non-Menu,Hot Tea Refill Tall,2.45,2.45,0.50,2.45,0.50,0.50,0.50,2.65,2.45,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,2.65,0.50,0.50,0.50,0.50,0.50,0.50,2.65,0.50,0.50,2.45,0.50,0.50,0.50,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011012084,Tea Refill Grande,Grande,Non-Menu,Hot Tea Refill Grande,2.65,2.75,0.50,2.75,0.50,0.50,0.50,2.95,2.65,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,2.95,0.50,0.50,0.50,0.50,0.50,0.50,2.95,0.50,0.50,2.65,0.50,0.50,0.50,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011012085,Tea Refill Venti,Venti,Non-Menu,Hot Tea Refill Venti,2.95,2.95,0.50,2.95,0.50,0.50,0.50,3.25,2.95,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,3.25,0.50,0.50,0.50,0.50,0.50,0.50,3.25,0.50,0.50,2.95,0.50,0.50,0.50,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011015038,Cup Of Water Trenta,Trenta,Non-Menu,Water Cup Trenta,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011015279,Extra Coconut Flakes,extra,Non-Menu,Miscellaneous Toppings extra,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011015666,Tall Salted Caramel Mocha Frappuccino® Blended Beverage,Tall,Menu,Blended Seasonal Analog Tall,4.95,4.95,4.95,4.95,4.95,4.95,4.95,5.25,5.25,4.95,4.95,4.95,4.95,4.95,5.25,4.95,5.45,5.75,5.95,5.45,4.95,5.25,5.45,5.45,5.45,5.45,5.45,4.95,5.25,5.45,4.95,4.95,4.95,4.95,4.95,4.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011015669,Grande Salted Caramel Mocha Frappuccino® Blended Beverage,Grande,Menu,Blended Seasonal Analog Grande,5.65,5.65,5.45,5.45,5.45,5.45,5.45,5.65,5.65,5.45,5.45,5.45,5.45,5.45,5.95,5.45,5.75,5.95,6.25,5.95,5.45,5.65,5.75,5.75,5.75,5.75,5.75,5.45,5.65,5.75,5.45,5.45,5.45,5.45,5.45,5.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011015675,Venti Salted Caramel Mocha Frappuccino® Blended Beverage,Venti,Menu,Blended Seasonal Analog Venti,5.95,5.95,5.75,5.95,5.75,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,5.95,6.25,5.95,6.25,6.25,6.75,6.25,5.95,5.95,6.25,6.25,6.25,6.25,6.25,5.95,5.95,6.25,5.95,5.95,5.95,5.95,5.95,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011015676,Trenta Very Berry Hibiscus Starbucks Refreshers™ Beverage,Trenta,Menu,Refreshers Trenta,5.75,5.75,4.95,5.45,4.95,4.95,5.25,5.75,5.75,4.95,4.95,4.75,4.95,4.95,4.85,4.95,5.25,5.45,5.75,5.45,4.95,5.75,4.95,5.25,5.25,5.25,5.25,4.95,5.75,5.25,4.95,5.45,4.95,4.95,5.25,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
